Name;Version
µTorrent;3.5.3.44428
360fly Director;1.6.2.0
3CDaemon;
3Com Detect;1.0.0
3DEC 4.10 32-bit;4.10
3ivx D4 4.5.1 Decoder (remove only);4.5.1
3M Conversion Station;3.21.003.0
3M Conversion Station;3.40.012.0
3M Digital Data Manager;3.30.006.0
3M Optional Tag Formats;1.00.004.0
3M Pad Staff Workstation;1.51.001.0
3M Pad Staff Workstation;1.52.003.0
3M Tag Manager Module;3.20.010.0
3M Tag Manager Module;3.40.007.0
3M Tag Manager Module;3.30.008.0
3M(TM) Swipe Reader Device Drivers;3M(TM) Swipe Reader Device Drivers v1.00.0
4D Server v14 (64-bit);14.0.150.095
4D v14;14.0.150.095
4K Video Downloader 4.5;4.5.0.2482
4Media Video Converter Ultimate;7.8.21.20170920
7D 0.9.5.178;0.9.5.178
7-Zip 15.14;15.14
7-Zip 15.14 (x64);15.14
7-Zip 16.02;16.02
7-Zip 16.02 (x64);16.02
7-Zip 16.04;16.04
7-Zip 16.04 (x64);16.04
7-Zip 18.01 (x64);18.01
7-Zip 18.05;18.05
7-Zip 18.05 (x64 edition);18.05.00.0
7-Zip 18.05 (x64);18.05
7-Zip 18.06;18.06
7-Zip 18.06 (x64);18.06
7-Zip 19.00 (x64);19.00
7-Zip 9.20;9.20
7-Zip 9.20 (x64 edition);9.20.00.0
8GadgetPack;26.0.0
A360 Desktop;8.2.3.1800
ABBYY FineReader 11;11.0.275
ABBYY FineReader 11 Corporate Edition;11.0.376
ABBYY FineReader 9.0 Sprint;9.00.631.5823
ABBYY Lingvo 12 Multilingual Edition;12.00.356.5061
AbsysNET 2 final (VMware ThinApp);1.0
AbsysNet2 (VMware ThinApp);1.0
AccelerometerP11;2.00.10.33
AccelerometerP11;2.00.10.34
ACD/Labs 2015 Freeware in C:\ACD2015FREE\;v14.00, FREE
ACD/Labs 2017 Freeware in C:\ACD2017FREE\;v14.00, FREE
ACD/Labs Software;0.0.0
Ace Stream Media 3.1.20.4;3.1.20.4
Acoubat Sound 2010 v6.0;6.0
Acoubat Sound 2016 v8.0;8.0
Acrylic Wi-Fi Home v3.1;3.1
ActiGraph USB Device (Driver Removal);
ActiLife5;5.2.14
ActivDriver;5.16.7.0
ActivDriver;5.17.13.0
Active Braille Firmware 4.0c;4.0
Active Braille Firmware 4.6a;4.6
Active Braille Guide utilisateur;4.0
Active Directory Authentication Library for SQL Server;14.0.1000.169
Active Directory Authentication Library pour SQL Server;14.0.1000.169
