Name;Version;Publisher;Install Date & Time;Uninstall;Registry Hive;Registry Path
7-Zip 18.05 (x64);18.05;Igor Pavlov;28/09/2018 10:34;"""C:\Program Files\7-Zip\Uninstall.exe""";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\7-Zip
ADE Client v6.0 (remove only);6.0;;05/12/2018 13:55;"""C:\Program Files (x86)\ADE Client v6.0\ADE-uninst.exe""";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\ADE Client v6.01
Adobe Acrobat 2017;17.011.30127;Adobe Systems Incorporated;25/02/2019 09:01;MsiExec.exe /qn /norestart /X{AC76BA86-1033-FFFF-7760-0E1108756300};HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{AC76BA86-1033-FFFF-7760-0E1108756300}
Adobe Acrobat Reader 2017 MUI;17.011.30102;Adobe Systems Incorporated;19/11/2018 10:22;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-FFFF-7B44-AE1108756300};HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{AC76BA86-7AD7-FFFF-7B44-AE1108756300}
Adobe Bridge CC 2018;8.0;Adobe Systems Incorporated;16/11/2018 12:01;"""C:\Program Files (x86)\Adobe\Adobe Creative Cloud\HDCore\Uninstaller.exe"" --uninstall=1 --sapCode=KBRG --productVersion=8.0 --productPlatform=win64 --productAdobeCode={KBRG-8.0-64-ADBEADBEADBEADBEADBEADBE} --productName=""Bridge CC"" --mode=0";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\KBRG_8_0
Adobe Character Animator CC 2018;1.1.0;Adobe Systems Incorporated;16/11/2018 11:57;"""C:\Program Files (x86)\Adobe\Adobe Creative Cloud\HDCore\Uninstaller.exe"" --uninstall=1 --sapCode=CHAR --productVersion=1.1.0 --productPlatform=win64 --productAdobeCode={CHAR-1.1.0-64-ADBEADBEADBEADBEADBEAD} --productName=""Character Animator CC"" --mode=0";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\CHAR_1_1_0
Adobe Creative Cloud;4.8.1.435;Adobe Systems Incorporated;15/03/2019 15:56;"""C:\Program Files (x86)\Adobe\Adobe Creative Cloud\Utils\Creative Cloud Uninstaller.exe""";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Adobe Creative Cloud
Adobe Dreamweaver CC 2018;18.0;Adobe Systems Incorporated;16/11/2018 11:58;"""C:\Program Files (x86)\Adobe\Adobe Creative Cloud\HDCore\Uninstaller.exe"" --uninstall=1 --sapCode=DRWV --productVersion=18.0 --productPlatform=win64 --productAdobeCode={DRWV-18.0-64-ADBEADBEADBEADBEADBEADB} --productName=""Dreamweaver CC"" --mode=0";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\DRWV_18_0
Adobe ExtendScript Toolkit CC;4.0.0.0;Adobe Systems Incorporated;16/11/2018 11:49;"""C:\Program Files (x86)\Common Files\Adobe\OOBE\PDApp\core\PDApp.exe"" --appletID=""DWA_UI"" --appletVersion=""2.0"" --mode=""Uninstall"" --mediaSignature=""{6297487E-3778-4F72-B458-55690418DB98}""";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{6297487E-3778-4F72-B458-55690418DB98}
Adobe Extension Manager CC;7.3.2;Adobe Systems Incorporated;16/11/2018 12:06;"""C:\Program Files (x86)\Common Files\Adobe\OOBE\PDApp\core\PDApp.exe"" --appletID=""DWA_UI"" --appletVersion=""2.0"" --mode=""Uninstall"" --mediaSignature=""{244FD30F-63F1-49B9-9D98-1150FF4FFCB1}""";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{244FD30F-63F1-49B9-9D98-1150FF4FFCB1}
Adobe Fireworks CS6;12.0.1;Adobe Systems Incorporated;16/11/2018 12:07;"""C:\Program Files (x86)\Common Files\Adobe\OOBE\PDApp\core\PDApp.exe"" --appletID=""DWA_UI"" --appletVersion=""2.0"" --mode=""Uninstall"" --mediaSignature=""{CA7C485C-7A89-11E1-B2C8-CD54B377BC52}""";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{CA7C485C-7A89-11E1-B2C8-CD54B377BC52}
Adobe Flash Builder 4.7 (64 bits);4.7;Adobe Systems Incorporated;16/11/2018 11:49;"""C:\Program Files (x86)\Common Files\Adobe\OOBE\PDApp\core\PDApp.exe"" --appletID=""DWA_UI"" --appletVersion=""2.0"" --mode=""Uninstall"" --mediaSignature=""{848DE8E1-521D-4748-A158-517708107EF3}""";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{848DE8E1-521D-4748-A158-517708107EF3}
Adobe Flash Player 32 NPAPI;32.0.0.156;Adobe Systems Incorporated;12/03/2019 09:01;"""C:\windows\SysWOW64\Macromed\Flash\FlashUtil32_32_0_0_156_Plugin.exe"" -maintain plugin";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Adobe Flash Player NPAPI
Adobe Illustrator CC 2018;22.0.1;Adobe Systems Incorporated;16/11/2018 12:00;"""C:\Program Files (x86)\Adobe\Adobe Creative Cloud\HDCore\Uninstaller.exe"" --uninstall=1 --sapCode=ILST --productVersion=22.0.1 --productPlatform=win64 --productAdobeCode={ILST-22.0.1-64-ADBEADBEADBEADBEADBEA} --productName=""Illustrator CC"" --mode=0";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\ILST_22_0_1
Adobe InCopy CC 2018;13.0.1;Adobe Systems Incorporated;16/11/2018 11:55;"""C:\Program Files (x86)\Adobe\Adobe Creative Cloud\HDCore\Uninstaller.exe"" --uninstall=1 --sapCode=AICY --productVersion=13.0.1 --productPlatform=win64 --productAdobeCode={AICY-13.0.1-64-ADBEADBEADBEADBEADBEA} --productName=""InCopy CC"" --mode=0";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\AICY_13_0_1
Adobe InDesign CC 2018;13.0.1;Adobe Systems Incorporated;16/11/2018 12:00;"""C:\Program Files (x86)\Adobe\Adobe Creative Cloud\HDCore\Uninstaller.exe"" --uninstall=1 --sapCode=IDSN --productVersion=13.0.1 --productPlatform=win64 --productAdobeCode={IDSN-13.0.1-64-ADBEADBEADBEADBEADBEA} --productName=""InDesign CC"" --mode=0";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\IDSN_13_0_1
